File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,795,25,1900,21.571698018564465,0.010939307038002388,1067.5974981876675
WCOMP02.fits,795,25,1900,21.052985156274158,0.011043853207918132,1067.8529320588493
WCOMP03.fits,795,25,1900,21.895888861164725,0.010899978373842892,1068.508041107141
WCOMP04.fits,795,25,1900,21.76096906709897,0.010938241567071247,1068.444726571845
WCOMP05.fits,795,25,1900,21.750461228864914,0.010942421380046585,1068.4394360432798
WCOMP06.fits,795,25,1900,20.604486549061942,0.011136354867121626,1066.876608617629
WCOMP07.fits,795,25,1900,21.711751688914706,0.010873172698941154,1067.956684889532
WCOMP08.fits,795,25,1900,21.36780755626732,0.010960858987864952,1067.4079508973202
WCOMP09.fits,795,25,1900,21.372738401529016,0.01096177579491601,1067.4065584180998
WCOMP10.fits,795,25,1900,21.262906251941867,0.010980451978865446,1067.4776319904104
WCOMP11.fits,795,25,1900,21.60864391287911,0.010955565093829236,1068.0514195504813
WCOMP12.fits,795,25,1900,21.96604179188703,0.010931617785436727,1068.288368979585
WCOMP13.fits,795,25,1900,21.413221623082556,0.010967377261261995,1067.4843108452706
WCOMP14.fits,795,25,1900,21.422223985221336,0.010964487002050554,1067.4747846996152
WCOMP15.fits,795,25,1900,21.762741335595315,0.010928984558463037,1068.1296991445786
WCOMP16.fits,795,25,1900,21.54457304225237,0.010959151390170946,1067.5763880513073
WCOMP17.fits,795,25,1900,21.28813293427534,0.011036376943349836,1067.7037194210372
WCOMP18.fits,795,25,1900,21.21567032032191,0.011050652352133554,1067.693666454369
WCOMP19.fits,795,25,1900,21.213993338137904,0.010692212197982682,1069.132076415154
WCOMP20_A.fits,795,25,1900,20.626828666807274,0.011093738119369822,1066.9709748902312
WCOMP20_A.fits,795,25,1900,20.626828666807274,0.011093738119369822,1066.9709748902312
WCOMP21.fits,795,25,1900,21.00287596338502,0.011158266311102123,1066.8977885800014
WCOMP22.fits,795,25,1900,20.946611665841573,0.01109710812291037,1067.57809731858
WCOMP23.fits,795,25,1900,20.867460719244104,0.011099077604106064,1067.636323164883
WCOMP24.fits,795,25,1900,21.717208651969457,0.010971753704589927,1068.0986798141566
WCOMP25.fits,795,25,1900,20.739657974841933,0.01104702204324337,1067.7723013237085
WCOMP26.fits,795,25,1900,22.025831769579625,0.010782835866132174,1068.8902970919053
WCOMP27.fits,795,25,1900,21.861997591695346,0.010929948080541752,1068.4741613453593
WCOMP28.fits,795,25,1900,21.930612742658038,0.01093071463169135,1068.4721795929545
WCOMP29.fits,795,25,1900,21.857275236107117,0.010921857438093563,1068.1635572649895
WCOMP30.fits,795,25,1900,21.857275236107117,0.010921857438093563,1068.1635572649895
WCOMP31.fits,795,25,1900,22.266682514036066,0.010786202315114332,1068.5363598428603
