File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,768,25,1900,23.830586498485268,0.0,2508.19248423764
WCOMP02.fits,768,25,1900,23.39393912527918,0.0,2508.5324809464228
WCOMP03.fits,768,25,1900,24.72606047499344,0.0,2514.6151574868823
WCOMP04.fits,768,25,1900,24.363844130810627,0.0,2508.7684544474882
WCOMP05.fits,768,25,1900,24.364231769341437,0.0,2508.7737449760575
WCOMP06.fits,768,25,1900,22.79031397040043,0.0,2507.845359747923
WCOMP07.fits,768,25,1900,24.23602535082138,0.0,2511.6480602774272
WCOMP08.fits,768,25,1900,23.751097970383118,0.0,2508.6020666773734
WCOMP09.fits,768,25,1900,23.777135518107066,0.0,2508.603459156594
WCOMP10.fits,768,25,1900,23.667432225112744,0.0,2508.602684354054
WCOMP11.fits,768,25,1900,24.157057103983192,0.0,2508.78794776059
WCOMP12.fits,768,25,1900,24.66927211657177,0.0,2511.6239333051244
WCOMP13.fits,768,25,1900,23.85588265534671,0.0,2508.741348205695
WCOMP14.fits,768,25,1900,23.864125239534264,0.0,2508.742087005129
WCOMP15.fits,768,25,1900,24.264888272610005,0.0,2508.321267463505
WCOMP16.fits,768,25,1900,23.998514787187357,0.0,2508.492680489994
WCOMP17.fits,768,25,1900,23.69171447624434,0.0,2508.9119220552393
WCOMP18.fits,768,25,1900,23.648299134352797,0.0,2508.9571244067924
WCOMP19.fits,768,25,1900,23.636517156437055,0.0,2510.10957560593
WCOMP20_A.fits,768,25,1900,22.937780729869267,0.0,2508.9295523505425
WCOMP20_A.fits,768,25,1900,22.937780729869267,0.0,2508.9295523505425
WCOMP21.fits,768,25,1900,23.43390187107466,0.0,2511.732264144076
WCOMP22.fits,768,25,1900,23.42519250525783,0.0,2514.4412348431074
WCOMP23.fits,768,25,1900,23.304263428004372,0.0,2511.745399154975
WCOMP24.fits,768,25,1900,24.343587958156206,0.0,2511.813622470554
WCOMP25.fits,768,25,1900,23.053280674815905,0.0,2508.9400009610017
WCOMP26.fits,768,25,1900,24.673953314079426,0.0,2509.20583647576
WCOMP27.fits,768,25,1900,24.400863752483968,0.0,2511.684186633551
WCOMP28.fits,768,25,1900,24.49799262833299,0.0,2511.686168385956
WCOMP29.fits,768,25,1900,24.269915308354456,0.0,2508.677216021478
WCOMP30.fits,768,25,1900,24.269915308354456,0.0,2508.677216021478
WCOMP31.fits,768,25,1900,24.7014015022806,0.0,2508.26205843482
