Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
200,6.828e-31,,,,,6.828e-31,,,
201,4.155e-30,,,,,4.155e-30,,,
202,2.278e-29,,,,,2.278e-29,,,
203,1.125e-28,,,,,1.125e-28,,,
204,5.008e-28,,,,,5.008e-28,,,
205,2.009e-27,,,,,2.009e-27,,,
206,7.590e-27,,3.282e-28,,,7.261e-27,,,
207,2.778e-26,,4.124e-27,,,2.366e-26,,,
208,1.168e-25,,4.731e-26,,,6.948e-26,,,
209,6.821e-25,,4.982e-25,,,1.840e-25,,,
210,5.209e-24,,4.770e-24,,,4.392e-25,,,
211,4.265e-23,,4.171e-23,,,9.454e-25,,,
212,3.349e-22,,3.331e-22,,,1.836e-24,,,
213,2.433e-21,,2.430e-21,,,3.219e-24,,,
214,1.620e-20,,1.619e-20,,,5.103e-24,,,
215,9.858e-20,,9.857e-20,,,7.346e-24,,,
216,5.485e-19,,5.485e-19,,,9.698e-24,,,
217,2.789e-18,,2.789e-18,,,1.202e-23,,,
218,1.297e-17,,1.297e-17,,,1.468e-23,,,
219,5.518e-17,,5.518e-17,,,1.905e-23,,,
220,2.148e-16,,2.148e-16,,,2.784e-23,,,
221,7.660e-16,,7.660e-16,,,4.505e-23,,,
222,2.503e-15,,2.503e-15,,,7.513e-23,,,
223,7.503e-15,,7.503e-15,,,1.212e-22,,,
224,2.066e-14,,2.066e-14,,,1.829e-22,,,
225,5.230e-14,,5.230e-14,,,2.541e-22,,,
226,1.220e-13,,1.220e-13,,,3.235e-22,,,
227,2.628e-13,,2.628e-13,,,3.766e-22,,,
228,5.235e-13,,5.235e-13,,,4.006e-22,,,
229,9.679e-13,,9.679e-13,,,3.897e-22,,,
230,1.666e-12,,1.666e-12,,,3.470e-22,,,
231,2.681e-12,,2.681e-12,,,2.837e-22,,,
232,4.059e-12,,4.059e-12,,,2.149e-22,,,
233,5.824e-12,,5.824e-12,,,1.543e-22,,,
234,8.003e-12,,8.003e-12,,,1.119e-22,,,
235,1.066e-11,,1.066e-11,,,9.206e-23,,,
236,1.394e-11,,1.394e-11,,,9.506e-23,,,
237,1.801e-11,,1.801e-11,,,1.187e-22,,,
238,2.300e-11,,2.300e-11,,,1.610e-22,,,
239,2.880e-11,,2.880e-11,,,2.246e-22,,,
240,3.491e-11,,3.491e-11,,,3.241e-22,,,
241,4.040e-11,,4.040e-11,,,4.975e-22,,,
242,4.426e-11,,4.426e-11,,,8.178e-22,,,
243,4.586e-11,,4.586e-11,,,1.400e-21,,,
244,4.558e-11,,4.558e-11,,,2.390e-21,,,
245,4.547e-11,,4.547e-11,,,3.933e-21,,,
246,4.962e-11,,4.962e-11,,,6.107e-21,,,
247,6.435e-11,,6.435e-11,,,8.849e-21,,,
248,9.797e-11,,9.797e-11,,,1.190e-20,,,
249,1.598e-10,,1.598e-10,,,1.483e-20,,,
250,2.578e-10,,2.578e-10,,,1.709e-20,,,
251,3.953e-10,,3.953e-10,,,1.822e-20,,,
252,5.669e-10,,5.669e-10,,,1.796e-20,,,
253,7.558e-10,,7.558e-10,,,1.638e-20,,,
254,9.348e-10,,9.348e-10,,,1.387e-20,,,
255,1.072e-9,,1.072e-9,,,1.098e-20,,,
256,1.139e-9,,1.139e-9,,,8.340e-21,,,
257,1.122e-9,,1.122e-9,,,6.488e-21,,,
258,1.024e-9,,1.024e-9,,,5.860e-21,,,
259,8.661e-10,,8.661e-10,,,6.790e-21,,,
260,6.789e-10,,6.789e-10,,,9.532e-21,,,
261,4.932e-10,,4.932e-10,,,1.422e-20,,,
262,3.320e-10,,3.320e-10,,,2.076e-20,,,
263,2.071e-10,,2.071e-10,,,2.871e-20,,,
264,1.197e-10,,1.197e-10,,,3.722e-20,,,
265,6.415e-11,,6.415e-11,,,4.509e-20,,,
266,3.185e-11,,3.185e-11,,,5.099e-20,,,
267,1.465e-11,,1.465e-11,,,5.388e-20,,,
268,6.249e-12,,6.249e-12,,,5.335e-20,,,
269,2.469e-12,,2.469e-12,,,4.986e-20,,,
270,9.042e-13,,9.042e-13,,,4.487e-20,,,
271,3.068e-13,,3.068e-13,,,4.076e-20,,,
272,9.651e-14,,9.651e-14,,,4.078e-20,,,
273,2.815e-14,,2.815e-14,,,4.895e-20,,,
274,7.732e-15,,7.732e-15,,,7.006e-20,,,
275,2.565e-15,,2.565e-15,,,1.093e-19,,,
276,3.517e-15,,3.517e-15,,,1.715e-19,,,
277,1.359e-14,,1.359e-14,,,2.597e-19,,,
278,5.614e-14,,5.614e-14,,,3.732e-19,,,
279,2.210e-13,,2.210e-13,,,5.057e-19,,,
280,8.246e-13,,8.246e-13,,,6.448e-19,,,
281,2.914e-12,,2.914e-12,,,7.731e-19,,,
282,9.755e-12,,9.755e-12,,,8.714e-19,,,
283,3.093e-11,,3.093e-11,,,9.232e-19,,,
284,9.292e-11,,9.292e-11,,,9.194e-19,,,
285,2.644e-10,,2.644e-10,,,8.608e-19,,,
286,7.126e-10,,7.126e-10,,,7.578e-19,,,
287,1.819e-9,,1.819e-9,,,6.278e-19,,,
288,4.400e-9,,4.400e-9,,,4.902e-19,,,
289,1.008e-8,,1.008e-8,,,3.626e-19,,,
290,2.188e-8,,2.188e-8,,,2.574e-19,,,
291,4.497e-8,,4.497e-8,,,1.812e-19,,,
292,8.757e-8,,8.757e-8,,,1.357e-19,,,
293,1.615e-7,,1.615e-7,,,1.191e-19,,,
294,2.822e-7,,2.822e-7,,,1.281e-19,,,
295,4.671e-7,,4.671e-7,,,1.590e-19,,,
296,7.324e-7,,7.324e-7,,,2.083e-19,,,
297,1.088e-6,,1.088e-6,,,2.741e-19,,,
298,1.530e-6,,1.530e-6,,,3.579e-19,,,
299,2.039e-6,,2.039e-6,,,4.677e-19,,,
300,2.574e-6,,2.574e-6,,,6.235e-19,,,
301,3.078e-6,,3.078e-6,,,8.626e-19,,,
302,3.487e-6,,3.487e-6,,,1.244e-18,,,
303,3.741e-6,,3.741e-6,,,1.850e-18,,,
304,3.803e-6,,3.803e-6,,,2.780e-18,,,
305,3.661e-6,,3.661e-6,,,4.131e-18,,,
306,3.339e-6,,3.339e-6,,,5.979e-18,,,
307,2.884e-6,,2.884e-6,,,8.339e-18,,,
308,2.361e-6,,2.361e-6,,,1.114e-17,,,
309,1.830e-6,,1.830e-6,,,1.421e-17,,,
310,1.344e-6,,1.344e-6,,,1.726e-17,,,
311,9.346e-7,,9.346e-7,,,1.996e-17,,,
312,6.158e-7,,6.158e-7,,,2.195e-17,,,
313,3.844e-7,,3.844e-7,,,2.296e-17,,,
314,2.272e-7,,2.272e-7,,,2.284e-17,,,
315,1.273e-7,,1.273e-7,,,2.159e-17,,,
316,6.752e-8,,6.752e-8,,,1.941e-17,,,
317,3.393e-8,,3.393e-8,,,1.659e-17,,,
318,1.615e-8,,1.615e-8,,,1.348e-17,,,
319,7.283e-9,,7.283e-9,,,1.041e-17,,,
320,3.111e-9,,3.111e-9,,,7.643e-18,,,
321,1.259e-9,,1.259e-9,,,5.336e-18,,,
322,4.824e-10,,4.824e-10,,,3.542e-18,,,
323,1.752e-10,,1.752e-10,,,2.235e-18,,,
324,6.024e-11,,6.024e-11,,,1.341e-18,,,
325,1.962e-11,,1.962e-11,,,7.646e-19,,,
326,6.056e-12,,6.056e-12,,,4.146e-19,,,
327,1.770e-12,,1.770e-12,,,2.138e-19,,,
328,4.902e-13,,4.902e-13,,,1.048e-19,,,
329,1.286e-13,,1.286e-13,,,4.883e-20,,,
330,3.195e-14,,3.195e-14,,,2.164e-20,,,
331,7.519e-15,,7.519e-15,,,9.115e-21,,,
332,1.676e-15,,1.676e-15,,,3.651e-21,,,
333,3.540e-16,,3.540e-16,,,1.390e-21,,,
334,7.083e-17,,7.083e-17,,,5.034e-22,,,
335,1.342e-17,,1.342e-17,,,1.733e-22,,,
336,2.409e-18,,2.409e-18,,,5.673e-23,,,
337,4.097e-19,,4.097e-19,,,1.766e-23,,,
338,6.600e-20,,6.599e-20,,,5.225e-24,,,
339,1.007e-20,,1.007e-20,,,1.471e-24,,,
340,1.456e-21,,1.455e-21,,,3.953e-25,,,
341,1.079e-25,,,,,1.079e-25,,,
342,5.360e-26,,,,,5.360e-26,,,
343,1.112e-25,,,,,1.112e-25,,,
344,3.677e-25,,,,,3.677e-25,,,
345,1.229e-24,,,,,1.229e-24,,,
346,3.976e-24,,,,,3.976e-24,,,
347,1.243e-23,,,,,1.243e-23,,,
348,3.754e-23,,,,,3.754e-23,,,
349,1.095e-22,,,,,1.095e-22,,,
350,3.084e-22,,,,,3.084e-22,,,
351,8.390e-22,,,,,8.390e-22,,,
352,2.205e-21,,,,,2.205e-21,,,
353,5.595e-21,,,,,5.595e-21,,,
354,1.372e-20,,,,,1.372e-20,,,
355,3.247e-20,,,,,3.247e-20,,,
356,7.426e-20,,,,,7.426e-20,,,
357,1.640e-19,,,,,1.640e-19,,,
358,3.498e-19,,,,,3.498e-19,,,
359,7.208e-19,,,,,7.208e-19,,,
360,1.434e-18,,,,,1.434e-18,,,
361,2.757e-18,,,,,2.757e-18,,,
362,5.117e-18,,,,,5.117e-18,,,
363,9.175e-18,,,,,9.175e-18,,,
364,1.589e-17,,,,,1.589e-17,,,
365,2.657e-17,,,,,2.657e-17,,,
366,4.292e-17,,,,,4.292e-17,,,
367,6.697e-17,,,,,6.697e-17,,,
368,1.009e-16,,,,,1.009e-16,,,
369,1.469e-16,,,,,1.469e-16,,,
370,2.065e-16,,,,,2.065e-16,,,
371,2.804e-16,,,,,2.804e-16,,,
372,3.677e-16,,,,,3.677e-16,,,
373,4.657e-16,,,,,4.657e-16,,,
374,5.697e-16,,,,,5.697e-16,,,
375,6.731e-16,,,,,6.731e-16,,,
376,7.681e-16,,,,,7.681e-16,,,
377,8.466e-16,,,,,8.466e-16,,,
378,9.012e-16,,,,,9.012e-16,,,
379,9.266e-16,,,,,9.266e-16,,,
380,9.202e-16,,,,,9.202e-16,,,
381,8.826e-16,,,,,8.826e-16,,,
382,8.177e-16,,,,,8.177e-16,,,
383,7.316e-16,,,,,7.316e-16,,,
384,6.323e-16,,,,,6.323e-16,,,
385,5.277e-16,,,,,5.277e-16,,,
386,4.254e-16,,,,,4.254e-16,,,
387,3.313e-16,,,,,3.313e-16,,,
388,2.491e-16,,,,,2.491e-16,,,
389,1.809e-16,,,,,1.809e-16,,,
390,1.269e-16,,,,,1.269e-16,,,
391,8.601e-17,,,,,8.601e-17,,,
392,5.629e-17,,,,,5.629e-17,,,
393,3.558e-17,,,,,3.558e-17,,,
394,2.172e-17,,,,,2.172e-17,,,
395,1.281e-17,,,,,1.281e-17,,,
396,7.294e-18,,,,,7.294e-18,,,
397,4.012e-18,,,,,4.012e-18,,,
398,2.132e-18,,,,,2.132e-18,,,
399,1.094e-18,,,,,1.094e-18,,,
400,5.427e-19,,,,,5.427e-19,,,
401,2.609e-19,,,,,2.609e-19,,,
402,1.229e-19,,,,,1.229e-19,,,
403,5.947e-20,,,,,5.947e-20,,,
404,3.461e-20,,,,,3.461e-20,,,
405,3.611e-18,,,,3.580e-18,3.143e-20,,,
406,1.318e-17,,,,1.314e-17,4.409e-20,,,
407,5.049e-17,,,,5.042e-17,7.365e-20,,,
408,1.770e-16,,,,1.769e-16,1.265e-19,,,
409,6.064e-16,,,,6.062e-16,2.142e-19,,,
410,2.030e-15,,,,2.029e-15,3.538e-19,,,
411,6.636e-15,,,,6.635e-15,5.689e-19,,,
412,2.119e-14,,,,2.119e-14,8.904e-19,,,
413,6.612e-14,,,,6.612e-14,1.356e-18,,,
414,2.015e-13,,,,2.015e-13,2.009e-18,,,
415,5.998e-13,,,,5.998e-13,2.897e-18,,,
416,1.744e-12,,,,1.744e-12,4.065e-18,,,
417,4.954e-12,,,,4.954e-12,5.550e-18,,,
418,1.374e-11,,,,1.374e-11,7.374e-18,,,
419,3.725e-11,,,,3.725e-11,9.532e-18,,,
420,9.862e-11,,,,9.862e-11,1.199e-17,,,
421,2.550e-10,,,,2.550e-10,1.468e-17,,,
422,6.442e-10,,,,6.442e-10,1.748e-17,,,
423,1.590e-9,,,,1.590e-9,2.026e-17,,,
424,3.832e-9,,,,3.832e-9,2.285e-17,,,
425,9.023e-9,,,,9.023e-9,2.507e-17,,,
426,2.075e-8,,,,2.075e-8,2.677e-17,,,
427,4.663e-8,,,,4.663e-8,2.781e-17,,,
428,1.024e-7,,,,1.024e-7,2.812e-17,,,
429,2.195e-7,,,,2.195e-7,2.766e-17,,,
430,4.597e-7,,,,4.597e-7,2.648e-17,,,
431,9.405e-7,,,,9.405e-7,2.466e-17,,,
432,1.880e-6,,,,1.880e-6,2.235e-17,,,
433,3.671e-6,,,,3.671e-6,1.971e-17,,,
434,7.002e-6,,,,7.002e-6,1.692e-17,,,
435,1.305e-5,,,,1.305e-5,1.413e-17,,,
436,2.375e-5,,,,2.375e-5,1.148e-17,,,
437,4.223e-5,,,,4.223e-5,9.075e-18,,,
438,7.337e-5,,,,7.337e-5,6.982e-18,,,
439,1.245e-4,,,,1.245e-4,5.227e-18,,,
440,2.065e-4,,,,2.065e-4,3.807e-18,,,
441,3.344e-4,,,,3.344e-4,2.699e-18,,,
442,5.292e-4,,,,5.292e-4,1.862e-18,,,
443,8.181e-4,,,,8.181e-4,1.251e-18,,,
444,1.236e-3,,,,1.236e-3,8.202e-19,,,
445,1.823e-3,,,,1.823e-3,5.295e-19,,,
446,2.628e-3,,,,2.628e-3,3.479e-19,,,
447,3.702e-3,2.101e-14,,,3.702e-3,2.595e-19,,,
448,5.093e-3,1.073e-13,,,5.093e-3,2.717e-19,,,
449,6.847e-3,3.873e-13,,,6.847e-3,4.348e-19,,,
450,8.993e-3,1.208e-12,,,8.993e-3,8.826e-19,,,
451,1.154e-2,3.793e-12,,,1.154e-2,1.916e-18,,,
452,1.447e-2,1.140e-11,,,1.447e-2,4.169e-18,,,
453,1.772e-2,3.362e-11,,,1.772e-2,8.940e-18,,,
454,2.121e-2,9.744e-11,,,2.121e-2,1.880e-17,,,
455,2.480e-2,2.766e-10,,,2.480e-2,3.875e-17,,,
456,2.833e-2,7.704e-10,,,2.833e-2,7.823e-17,,,
457,3.163e-2,2.105e-9,,,3.163e-2,1.547e-16,,,
458,3.450e-2,5.644e-9,,,3.450e-2,2.997e-16,,,
459,3.676e-2,1.485e-8,,,3.676e-2,5.686e-16,,,
460,3.828e-2,3.832e-8,,,3.828e-2,1.057e-15,,,
461,3.895e-2,9.703e-8,,,3.895e-2,1.924e-15,,,
462,3.872e-2,2.411e-7,,,3.872e-2,3.431e-15,,,
463,3.762e-2,5.878e-7,,,3.762e-2,5.993e-15,,,
464,3.571e-2,1.406e-6,,,3.571e-2,1.025e-14,,,
465,3.312e-2,3.301e-6,,,3.312e-2,1.719e-14,,,
466,3.002e-2,7.603e-6,,,3.001e-2,2.822e-14,,,
467,2.660e-2,1.719e-5,,,2.658e-2,4.538e-14,,,
468,2.304e-2,3.812e-5,,,2.300e-2,7.149e-14,,,
469,1.953e-2,8.298e-5,,,1.945e-2,1.103e-13,,,
470,1.625e-2,1.773e-4,,,1.607e-2,1.668e-13,,,
471,1.335e-2,3.716e-4,,,1.298e-2,2.469e-13,,,
472,1.101e-2,7.647e-4,,,1.024e-2,3.582e-13,,,
473,9.441e-3,1.544e-3,,,7.897e-3,5.089e-13,,,
474,9.011e-3,3.061e-3,,,5.950e-3,7.083e-13,,,
475,1.034e-2,5.954e-3,,,4.381e-3,9.657e-13,,,
476,1.452e-2,1.137e-2,,,3.153e-3,1.290e-12,,,
477,2.353e-2,2.132e-2,,,2.217e-3,1.688e-12,,,
478,4.075e-2,3.922e-2,,,1.523e-3,2.163e-12,,,
479,7.188e-2,7.086e-2,,,1.023e-3,2.716e-12,,,
480,1.264e-1,1.257e-1,,,6.714e-4,3.340e-12,,,
481,2.193e-1,2.189e-1,,,4.306e-4,4.024e-12,,,
482,3.745e-1,3.742e-1,,,2.699e-4,4.749e-12,,,
483,6.285e-1,6.284e-1,,,1.653e-4,5.491e-12,,,
484,1.036e+0,1.036e+0,,,9.896e-5,6.219e-12,,,
485,1.678e+0,1.678e+0,,,5.789e-5,6.901e-12,,,
486,2.669e+0,2.669e+0,,,3.310e-5,7.501e-12,,,
487,4.171e+0,4.171e+0,,,1.849e-5,7.987e-12,,,
488,6.402e+0,6.402e+0,,,1.010e-5,8.331e-12,,,
489,9.656e+0,9.656e+0,,,5.387e-6,8.513e-12,,,
490,1.431e+1,1.431e+1,,,2.809e-6,8.522e-12,,,
491,2.085e+1,2.085e+1,,,1.432e-6,8.358e-12,,,
492,2.985e+1,2.985e+1,,,7.131e-7,8.029e-12,,,
493,4.202e+1,4.202e+1,,,3.471e-7,7.557e-12,,,
494,5.816e+1,5.816e+1,,,1.651e-7,6.968e-12,,,
495,7.917e+1,7.917e+1,,,7.676e-8,6.294e-12,,,
496,1.060e+2,1.060e+2,,,3.487e-8,5.570e-12,,,
497,1.397e+2,1.397e+2,,,1.548e-8,4.828e-12,,,
498,1.812e+2,1.812e+2,,,6.719e-9,4.101e-12,,,
499,2.314e+2,2.314e+2,,,2.849e-9,3.412e-12,,,
500,2.911e+2,2.911e+2,,,1.181e-9,2.781e-12,,,
501,3.607e+2,3.607e+2,,,4.782e-10,2.221e-12,,,
502,4.405e+2,4.405e+2,,,1.892e-10,1.738e-12,,,
503,5.305e+2,5.305e+2,,,7.319e-11,1.332e-12,,,
504,6.303e+2,6.303e+2,,,2.767e-11,1.000e-12,,,
505,7.390e+2,7.390e+2,,,1.022e-11,7.356e-13,,,
506,8.557e+2,8.557e+2,,,3.689e-12,5.302e-13,,,
507,9.789e+2,9.789e+2,,,1.301e-12,3.743e-13,,,
508,1.107e+3,1.107e+3,,,4.486e-13,2.589e-13,,,
509,1.238e+3,1.238e+3,,,1.511e-13,1.755e-13,,,
510,1.371e+3,1.371e+3,,,4.974e-14,1.165e-13,,,
511,1.502e+3,1.502e+3,,,1.600e-14,7.579e-14,,,
512,1.632e+3,1.632e+3,,,5.030e-15,4.830e-14,,,
513,1.757e+3,1.757e+3,,,1.545e-15,3.016e-14,,,
514,1.877e+3,1.877e+3,,,4.639e-16,1.845e-14,,,
515,1.992e+3,1.992e+3,,,1.361e-16,1.106e-14,,,
516,2.101e+3,2.101e+3,,,3.900e-17,6.492e-15,,,
517,2.205e+3,2.205e+3,,2.442e-15,9.302e-18,3.735e-15,,,
518,2.306e+3,2.306e+3,,7.510e-15,2.564e-18,2.105e-15,,,
519,2.406e+3,2.406e+3,,2.453e-14,,1.162e-15,,,
520,2.510e+3,2.510e+3,,6.595e-14,,6.289e-16,,,
521,2.621e+3,2.621e+3,,1.785e-13,,3.333e-16,,,
522,2.744e+3,2.744e+3,,4.667e-13,,1.731e-16,,,
523,2.886e+3,2.886e+3,,1.203e-12,,8.808e-17,,,
524,3.051e+3,3.051e+3,,3.060e-12,,4.391e-17,,,
525,3.242e+3,3.242e+3,,7.666e-12,,2.144e-17,,,
526,3.463e+3,3.463e+3,,1.894e-11,,1.026e-17,,,
527,3.713e+3,3.713e+3,,4.612e-11,,4.811e-18,,,
528,3.989e+3,3.989e+3,,1.107e-10,,2.210e-18,,,
529,4.285e+3,4.285e+3,,2.621e-10,,9.946e-19,,,
530,4.591e+3,4.591e+3,,6.115e-10,,4.386e-19,,,
531,4.896e+3,4.896e+3,,1.407e-9,,1.895e-19,,,
532,5.184e+3,5.184e+3,,3.191e-9,,8.019e-20,,,
533,5.440e+3,5.440e+3,,7.136e-9,,3.326e-20,,,
534,5.648e+3,5.648e+3,,1.573e-8,,1.351e-20,,,
535,5.793e+3,5.793e+3,,3.420e-8,,5.380e-21,,,
536,5.864e+3,5.864e+3,,7.329e-8,,2.098e-21,,,
537,5.853e+3,5.853e+3,,1.549e-7,,8.019e-22,,,
538,5.756e+3,5.756e+3,,3.227e-7,,3.002e-22,,,
539,5.574e+3,5.574e+3,,6.629e-7,,1.101e-22,,,
540,5.312e+3,5.312e+3,,1.343e-6,,3.959e-23,,,
541,4.982e+3,4.982e+3,,2.681e-6,,1.394e-23,,,
542,4.595e+3,4.595e+3,,5.280e-6,,4.810e-24,,,
543,4.169e+3,4.169e+3,,1.025e-5,,1.626e-24,,,
544,3.719e+3,3.719e+3,,1.963e-5,,5.385e-25,,,
545,3.262e+3,3.262e+3,,3.706e-5,,1.748e-25,,,
546,2.814e+3,2.814e+3,,6.899e-5,,5.556e-26,,,
547,2.386e+3,2.386e+3,,1.266e-4,,1.731e-26,,,
548,1.991e+3,1.991e+3,,2.292e-4,,5.231e-27,,,
549,1.636e+3,1.636e+3,,4.092e-4,,1.119e-27,,,
550,1.325e+3,1.325e+3,,7.204e-4,,2.582e-28,,,
551,1.062e+3,1.062e+3,,1.251e-3,,,,,
552,8.478e+2,8.478e+2,,2.142e-3,,,,,
553,6.832e+2,6.832e+2,,3.616e-3,,,,,
554,5.688e+2,5.688e+2,,6.022e-3,,,,,
555,5.061e+2,5.061e+2,,9.892e-3,,,,,
556,4.990e+2,4.990e+2,,1.603e-2,,,,,
557,5.543e+2,5.543e+2,,2.561e-2,,,,,
558,6.830e+2,6.830e+2,,4.037e-2,,,,,
559,9.013e+2,9.012e+2,,6.277e-2,,,,,
560,1.231e+3,1.231e+3,,9.629e-2,,,,,
561,1.701e+3,1.701e+3,,1.457e-1,,,,,
562,2.347e+3,2.347e+3,,2.176e-1,,,,,
563,3.211e+3,3.211e+3,,3.205e-1,,,,,
564,4.343e+3,4.342e+3,,4.659e-1,,,,,
565,5.796e+3,5.795e+3,,6.683e-1,,,,,
566,7.629e+3,7.628e+3,,9.462e-1,,,,,
567,9.898e+3,9.896e+3,,1.322e+0,,,,,
568,1.266e+4,1.265e+4,,1.824e+0,,,,,
569,1.595e+4,1.595e+4,,2.483e+0,,,,,
570,1.981e+4,1.981e+4,,3.338e+0,,,,,
571,2.425e+4,2.424e+4,,4.432e+0,,,,,
572,2.925e+4,2.924e+4,,5.811e+0,,,,,
573,3.476e+4,3.476e+4,,7.525e+0,,,,,
574,4.072e+4,4.071e+4,,9.628e+0,,,,,
575,4.701e+4,4.699e+4,,1.217e+1,,,,,
576,5.347e+4,5.346e+4,,1.520e+1,,,,,
577,5.994e+4,5.992e+4,,1.878e+1,,,,,
578,6.622e+4,6.620e+4,,2.292e+1,,,,,
579,7.209e+4,7.207e+4,,2.768e+1,,,,,
580,7.735e+4,7.731e+4,,3.305e+1,,,,,
581,8.178e+4,8.174e+4,,3.904e+1,,,,,
582,8.521e+4,8.516e+4,,4.563e+1,,,,,
583,8.749e+4,8.743e+4,,5.279e+1,,,,,
584,8.853e+4,8.846e+4,,6.046e+1,,,,,
585,8.827e+4,8.821e+4,,6.856e+1,,,,,
586,8.675e+4,8.667e+4,,7.701e+1,,,,,
587,8.401e+4,8.392e+4,,8.567e+1,,,,,
588,8.017e+4,8.008e+4,,9.443e+1,,,,,
589,7.541e+4,7.530e+4,,1.032e+2,,,,,
590,6.989e+4,6.978e+4,,1.117e+2,,,,,
591,6.385e+4,6.373e+4,,1.199e+2,,,,,
592,5.748e+4,5.735e+4,,1.277e+2,,,,,
593,5.099e+4,5.086e+4,,1.349e+2,,,,,
594,4.459e+4,4.445e+4,,1.414e+2,,,,,
595,3.843e+4,3.828e+4,,1.471e+2,,,,,
596,3.264e+4,3.249e+4,,1.522e+2,,,,,
597,2.733e+4,2.718e+4,,1.564e+2,,,,,
598,2.256e+4,2.240e+4,,1.600e+2,,,,,
599,1.836e+4,1.819e+4,,1.631e+2,,,,,
600,1.473e+4,1.456e+4,,1.658e+2,,,,,
601,1.166e+4,1.149e+4,,1.683e+2,,,,,
602,9.101e+3,8.930e+3,,1.709e+2,,,,,
603,7.015e+3,6.841e+3,,1.738e+2,,,,,
604,5.342e+3,5.164e+3,,1.774e+2,,,,,
605,4.024e+3,3.842e+3,,1.820e+2,,,,,
606,3.004e+3,2.817e+3,,1.877e+2,,,,,
607,2.230e+3,2.035e+3,,1.948e+2,,,,,
608,1.652e+3,1.449e+3,,2.035e+2,,,,,
609,1.230e+3,1.016e+3,,2.139e+2,,,,,
610,9.287e+2,7.028e+2,,2.259e+2,,,,,
611,7.183e+2,4.789e+2,,2.395e+2,,,,,
612,5.761e+2,3.215e+2,,2.545e+2,,,,,
613,4.835e+2,2.128e+2,,2.708e+2,,,,,
614,4.266e+2,1.387e+2,,2.878e+2,,,,,
615,3.946e+2,8.915e+1,,3.054e+2,,,,,
616,3.795e+2,5.645e+1,,3.231e+2,,,,,
617,3.755e+2,3.523e+1,,3.403e+2,,,,,
618,3.783e+2,2.167e+1,,3.567e+2,,,,,
619,3.848e+2,1.313e+1,,3.717e+2,,,,,
620,3.927e+2,7.842e+0,,3.849e+2,,,,,
621,4.004e+2,4.615e+0,,3.958e+2,,,,,
622,4.068e+2,2.677e+0,,4.042e+2,,,,,
623,4.111e+2,1.530e+0,,4.096e+2,,,,,
624,4.127e+2,8.618e-1,,4.118e+2,,,,,
625,4.112e+2,4.783e-1,,4.107e+2,,,,,
626,4.064e+2,2.616e-1,,4.062e+2,,,,,
627,3.984e+2,1.410e-1,,3.983e+2,,,,,
628,3.871e+2,7.492e-2,,3.871e+2,,,,,
629,3.728e+2,3.922e-2,,3.728e+2,,,,,
630,3.557e+2,2.023e-2,,3.557e+2,,,,,
631,3.362e+2,1.029e-2,,3.362e+2,,,,,
632,3.147e+2,5.153e-3,,3.147e+2,,,,2.742e-13,
633,2.917e+2,2.544e-3,,2.917e+2,,,,6.289e-13,
634,2.677e+2,1.238e-3,,2.677e+2,,,,1.428e-12,
635,2.431e+2,5.934e-4,,2.431e+2,,,,3.213e-12,
636,2.185e+2,2.804e-4,,2.185e+2,,,,7.157e-12,
637,1.943e+2,1.306e-4,,1.943e+2,,,,1.773e-11,
638,1.709e+2,5.991e-5,,1.709e+2,,,,3.925e-11,
639,1.487e+2,2.709e-5,,1.487e+2,,,,8.536e-11,
640,1.280e+2,1.207e-5,,1.280e+2,,,,1.839e-10,
641,1.089e+2,5.300e-6,,1.089e+2,,,,3.923e-10,
642,9.166e+1,2.294e-6,,9.166e+1,,,,8.292e-10,
643,7.625e+1,9.782e-7,,7.625e+1,,,,1.736e-9,
644,6.271e+1,4.111e-7,,6.271e+1,,,,3.601e-9,
645,5.098e+1,1.702e-7,,5.098e+1,,,,7.398e-9,
646,4.096e+1,6.948e-8,,4.096e+1,,,,1.506e-8,
647,3.253e+1,2.794e-8,,3.253e+1,,,,3.036e-8,
648,2.553e+1,1.108e-8,,2.553e+1,,,,6.062e-8,
649,1.980e+1,4.326e-9,,1.980e+1,,,,1.199e-7,
650,1.517e+1,1.665e-9,,1.517e+1,,,,2.351e-7,
651,1.149e+1,6.316e-10,,1.149e+1,,,,4.564e-7,
652,8.597e+0,2.361e-10,,8.597e+0,,,,8.779e-7,
653,6.356e+0,8.696e-11,,6.356e+0,,,,1.673e-6,
654,4.642e+0,3.157e-11,,4.642e+0,,,,3.158e-6,
655,3.350e+0,1.129e-11,,3.350e+0,,,,5.906e-6,
656,2.388e+0,,,2.388e+0,,,,1.094e-5,
657,1.682e+0,,,1.682e+0,,,,2.009e-5,
658,1.170e+0,,,1.170e+0,,,,3.653e-5,
659,8.044e-1,,,8.044e-1,,,,6.582e-5,
660,5.463e-1,,,5.461e-1,,,,1.175e-4,
661,3.665e-1,,,3.663e-1,,,,2.078e-4,
662,2.431e-1,,,2.427e-1,,,,3.641e-4,
663,1.595e-1,,,1.589e-1,,,,6.322e-4,
664,1.038e-1,,,1.027e-1,,,,1.088e-3,
665,6.744e-2,,,6.559e-2,,,,1.854e-3,
