Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
12590.4,"379,4","0,0001151",,"0,5138",,,"378,8",,
12592.3,"331,4","0,0001571",,"0,6039",,,"330,8",,
12594.2,292,"0,0002137",,"0,7077",,,"291,3",,
12596.2,"258,8","0,0002944",,"0,8336",,,"257,9",,
12598.1,"234,5","0,0003981",,"0,9707",,,"233,6",,
12600,"216,8","0,0005366",,"1,127",,,"215,7",,
12601.9,"205,2","0,0007211",,"1,305",,,"203,9",,
12603.8,"199,4","0,0009662",,"1,506",,,"197,9",,
12605.8,"199,3","0,00131",,"1,745",,,"197,5",,
12607.7,"204,6","0,001745",,"2,001",,,"202,6",,
12609.6,"215,3","0,002317",,"2,288",,,213,,
12611.5,"231,2","0,003068",,"2,609",,,"228,6",,
12613.5,"253,8","0,004108",,"2,984",,,"250,8",,
12615.4,"280,9","0,005406",,"3,381",,,"277,5",,
12617.3,"313,7","0,007092",,"3,819",,,"309,9",,
12619.2,"352,5","0,009276",,"4,3",,,"348,2",,
12621.2,"400,2","0,01227",,"4,856",,,"395,3",,
12623.1,"452,3","0,01595",,"5,435",,,"446,8",,
12625,"511,4","0,02067",,"6,063",,,"505,3",,
12626.9,578,"0,02671",,"6,744",,,"571,3",,
12628.8,"652,6","0,03442",,"7,479",,,"645,1",,
12630.8,"740,2","0,0448",,"8,312",,,"731,8",,
12632.7,"832,5","0,05737",,"9,16",,,"823,3",,
12634.6,"934,3","0,07325",,"10,06",,,"924,1",,
12636.5,1046,"0,09325",,"11,02",,,1035,,
12638.5,1174,"0,1198",,"12,09",,,1162,,
12640.4,1308,"0,1516",,"13,17",,,1294,,
12642.3,1452,"0,1913",,"14,29",,,1437,,
12644.2,1608,"0,2406",,"15,46",,,1592,,
12646.2,1785,"0,3053",,"16,75",,,1767,,
12648.1,1965,"0,3817",,"18,01",,,1946,,
12650,2157,"0,4757",,"19,3",,,2137,,
12651.9,2362,"0,5912",,"20,63",,,2340,,
12653.8,2578,"0,7325",,"21,99",,,2556,,
12655.8,2819,"0,9149",,"23,43",,,2795,,
12657.7,3061,"1,127",,"24,81",,,3035,,
12659.6,3313,"1,383",,"26,2",,,3286,,
12661.5,3577,"1,693",,"27,58",,,3547,,
12663.5,3865,"2,089",,"29,01",,,3834,,
12665.4,4149,"2,541",,"30,35",,,4116,,
12667.3,4442,"3,083",,"31,65",,,4407,,
12669.2,4742,"3,729",,"32,91",,,4705,,
12671.2,5066,"4,541",,"34,17",,,5027,,
12673.1,5379,"5,458",,"35,31",,,5338,,
12675,5696,"6,542",,"36,38",,,5653,,
12676.9,6016,"7,818",,"37,36",,,5971,,
12678.8,6338,"9,315",,"38,26",,,6290,,
12680.8,6676,"11,17",,"39,1",,,6626,,
12682.7,6996,"13,22",,"39,78",,,6943,,
12684.6,7313,"15,61",,"40,36",,,7257,,
12686.5,7626,"18,38",,"40,82",,,7566,,
12688.5,7948,"21,75",,"41,18",,,7885,,
12690.4,8246,"25,45",,"41,4",,,8179,,
12692.3,8535,"29,69",,"41,49",,,8464,,
12694.2,8814,"34,53",,"41,45",,,8738,,
12696.2,9095,"40,36",,"41,28",,,9013,,
12698.1,9348,"46,66",,"40,98",,,9260,,
12700,9588,"53,78",,"40,57",,,9493,,
12701.9,9813,"61,8",,"40,04",,,9711,,
12703.8,10020,"70,81",,"39,4",,,9912,,
12705.8,10230,"81,45",,"38,61",,,10110,,
