Pos de +IoU,+IoU,NAC,Pos de +NAC,IoU,+NAC
23,0.9302141157811261,0.0012934966669304524,23,0.9302141157811261,0.0012934966669304524
42,0.8867202449292002,0.024225789547407724,36,0.1171538635848629,0.004460358907233768
68,0.9064539521392313,0.0012249994590421284,68,0.9064539521392313,0.0012249994590421284
31,0.9191176470588235,0.0011333573528775683,30,0.74,0.001116510234846903
70,0.958,0.008688216694288993,36,0.0,0.0024069319046618647
54,0.9241562381494122,0.016252013753750363,55,0.8538545853123858,0.0013351716947829625
9,0.9243604004449388,0.0015933639313205795,9,0.9243604004449388,0.0015933639313205795
1,0.950499001996008,0.0014916198365099,70,0.0,0.0010115509056318208
51,0.926664159458443,0.0006634227103737261,47,0.3981986899563319,0.0006534693905673874
67,0.9381598793363499,0.0011862238741424003,66,0.8436154949784792,0.0010465092426253462
