Pty_Match,Pty_Insert,Pty_Deletion,IoU,NAC
1.0,1.0,1.0,0.9945805275872325,0.04628451844840762
1.5,1.0,1.0,0.9945805275872325,0.08161223907333252
2.0,1.0,1.0,0.9945805275872325,0.08174071398532105
2.5,1.0,1.0,0.9945805275872325,0.08174071398532105
3.0,1.0,1.0,0.9945805275872325,0.08174071398532105
1.0,1.0,1.0,0.9945805275872325,0.04628451844840762
1.0,1.5,1.0,0.9945805275872325,0.04756554818388296
1.0,2.0,1.0,0.9945805275872325,0.04756554818388296
1.0,2.5,1.0,0.9945805275872325,0.04756554818388296
1.0,3.0,1.0,0.9945805275872325,0.04756554818388296
1.0,1.0,1.0,0.9945805275872325,0.04628451844840762
1.0,1.0,1.5,0.9945805275872325,62708574858.67746
1.0,1.0,2.0,0.9945805275872325,5.201107531879125e+20
1.0,1.0,2.5,0.9945805275872325,2.7086450462823877e+28
1.0,1.0,3.0,0.9945805275872325,5.5446105831554495e+34
1.0,1.0,1.0,0.9945805275872325,0.04628451844840762
1.5,1.5,1.0,0.9945805275872325,31482116.437748145
2.0,2.0,1.0,0.9945805275872325,1074095589243755.2
2.5,2.5,1.0,0.9945805275872325,7.988535453262441e+20
3.0,3.0,1.0,0.9945805275872325,5.117152178303258e+25
1.0,1.0,1.0,0.9945805275872325,0.04628451844840762
1.5,1.0,1.5,0.9945805275872325,2.985635536678231e+21
2.0,1.0,2.0,0.9945805275872325,1.0742493788467063e+39
2.5,1.0,2.5,0.9945805275872325,4.7041918412916536e+52
3.0,1.0,3.0,0.9945805275872325,6.678301737404797e+63
1.0,1.0,1.0,0.9945805275872325,0.04628451844840762
1.0,1.5,1.5,0.9945805275872325,62708574858.67746
1.0,2.0,2.0,0.9945805275872325,5.201107531879125e+20
1.0,2.5,2.5,0.9945805275872325,2.7086450462823877e+28
1.0,3.0,3.0,0.9945805275872325,5.5446105831554495e+34
