File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,782,25,1900,20.400408144850445,0.0,1252.4511009996177
WCOMP02.fits,782,25,1900,19.924616388601613,0.0,1252.5743731836294
WCOMP03.fits,782,25,1900,20.90099165336704,0.0,1252.6876544639083
WCOMP04.fits,782,25,1900,20.666920864421513,0.0,1253.0086984523366
WCOMP05.fits,782,25,1900,20.659318304393196,0.0,1253.0034079237705
WCOMP06.fits,782,25,1900,19.408800641609606,0.0,1252.194359056997
WCOMP07.fits,782,25,1900,20.657692051375356,0.0,1252.984452903592
WCOMP08.fits,782,25,1900,20.24281350313365,0.0,1252.4327312136645
WCOMP09.fits,782,25,1900,20.256182554905966,0.0,1252.431338734444
WCOMP10.fits,782,25,1900,20.152134922366436,0.0,1252.4187567707268
WCOMP11.fits,782,25,1900,20.51562327539721,0.0,1252.6784845768423
WCOMP12.fits,782,25,1900,20.916441122870264,0.0,1252.6598979778273
WCOMP13.fits,782,25,1900,20.295398731135556,0.0,1252.569723850542
WCOMP14.fits,782,25,1900,20.305870055823902,0.0,1252.5823418173663
WCOMP15.fits,782,25,1900,20.634338874399134,0.0,1252.8562369301676
WCOMP16.fits,782,25,1900,20.41790595125544,0.0,1252.4957202129938
WCOMP17.fits,782,25,1900,20.182543056224514,0.0,1253.3624188937965
WCOMP18.fits,782,25,1900,20.09373283218211,0.0,1253.3138773506776
WCOMP19.fits,782,25,1900,20.063529893912506,0.0,1253.193939332551
WCOMP20_A.fits,782,25,1900,19.49508823598636,0.0,1252.298391410443
WCOMP20_A.fits,782,25,1900,19.49508823598636,0.0,1252.298391410443
WCOMP21.fits,782,25,1900,19.89303071938097,0.0,1252.2654511459066
WCOMP22.fits,782,25,1900,19.87262471444785,0.0,1253.0858301832554
WCOMP23.fits,782,25,1900,19.78014758503213,0.0,1253.1995920576778
WCOMP24.fits,782,25,1900,20.63337550689011,0.0,1252.6702088123993
WCOMP25.fits,782,25,1900,19.61328831991676,0.0,1253.2621080020922
WCOMP26.fits,782,25,1900,20.817706351442947,0.0,1253.0607716085997
WCOMP27.fits,782,25,1900,20.805383071523877,0.0,1252.971876635341
WCOMP28.fits,782,25,1900,20.866597905068424,0.0,1252.9698948829375
WCOMP29.fits,782,25,1900,20.726863430962787,0.0,1252.610657440734
WCOMP30.fits,782,25,1900,20.726863430962787,0.0,1252.610657440734
WCOMP31.fits,782,25,1900,21.0887929226994,0.0,1252.789435414038
