File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,505,25,1900,27.35840740889655,0.0,2212.0861573483603
WCOMP02.fits,505,25,1900,26.73974314103049,0.0,2212.111918556265
WCOMP03.fits,505,25,1900,27.796096559853932,0.0,2214.778426379676
WCOMP04.fits,505,25,1900,27.592624751251908,0.0,2212.504306820071
WCOMP05.fits,505,25,1900,27.58513467962378,0.0,2212.5095973486345
WCOMP06.fits,505,25,1900,26.184775339618064,0.0,2212.323742876219
WCOMP07.fits,505,25,1900,27.462210949430155,0.0,2212.465107729097
WCOMP08.fits,505,25,1900,27.12371185735567,0.0,2212.1175324067212
WCOMP09.fits,505,25,1900,27.147725429528077,0.0,2212.1189248859423
WCOMP10.fits,505,25,1900,27.02749521945482,0.0,2212.118150083403
WCOMP11.fits,505,25,1900,27.49900624465894,0.0,2212.0803906428405
WCOMP12.fits,505,25,1900,27.77246348644153,0.0,2214.795989544141
WCOMP13.fits,505,25,1900,27.22743237888319,0.0,2212.1114712285435
WCOMP14.fits,505,25,1900,27.239808310575267,0.0,2212.1122100279767
WCOMP15.fits,505,25,1900,27.665187047523048,0.0,2212.04604777985
WCOMP16.fits,505,25,1900,27.38438705577853,0.0,2212.0721180998357
WCOMP17.fits,505,25,1900,26.971390788797933,0.0,2212.6477744278222
WCOMP18.fits,505,25,1900,26.937319082649836,0.0,2212.6929767793754
WCOMP19.fits,505,25,1900,26.836680192584577,0.0,2211.4215263967963
WCOMP20_A.fits,505,25,1900,26.34409997552105,0.0,2212.2996753733887
WCOMP20_A.fits,505,25,1900,26.34409997552105,0.0,2212.2996753733887
WCOMP21.fits,505,25,1900,26.751632604875645,0.0,2212.3289249525124
WCOMP22.fits,505,25,1900,26.716689382218956,0.0,2213.362148727114
WCOMP23.fits,505,25,1900,26.58019100821488,0.0,2213.3742216505834
WCOMP24.fits,505,25,1900,27.64383584985838,0.0,2212.630669922223
WCOMP25.fits,505,25,1900,26.356045851746405,0.0,2212.0871011367485
WCOMP26.fits,505,25,1900,27.986097964100598,0.0,2212.2520579168863
WCOMP27.fits,505,25,1900,27.646995457514397,0.0,2212.501234085222
WCOMP28.fits,505,25,1900,27.745275341164696,0.0,2212.503215837625
WCOMP29.fits,505,25,1900,27.762337109524506,0.0,2212.0473390443253
WCOMP30.fits,505,25,1900,27.762337109524506,0.0,2212.0473390443253
WCOMP31.fits,505,25,1900,28.23324995785613,0.0,2211.8414960446617
