File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,700,25,1900,25.38285117314046,0.36909729480284204,335.198436502281
WCOMP02.fits,700,25,1900,24.8142143935383,0.36915054633539535,335.22585735048995
WCOMP03.fits,700,25,1900,25.721010847004347,0.3692827812717331,366.47389064647393
WCOMP04.fits,700,25,1900,25.605297914923785,0.3692378437178819,364.70774971741685
WCOMP05.fits,700,25,1900,25.600339541269268,0.3692358686896662,364.712961231434
WCOMP06.fits,700,25,1900,24.281914702732607,0.36901398988026496,335.432647661627
WCOMP07.fits,700,25,1900,25.46242510374805,0.36923287837513413,364.6684986462106
WCOMP08.fits,700,25,1900,25.17527046631486,0.3690980855771429,335.22974944257885
WCOMP09.fits,700,25,1900,25.20125542066591,0.3690974616342075,335.23111773436534
WCOMP10.fits,700,25,1900,25.063120632163088,0.36910886266384063,335.23071584460894
WCOMP11.fits,700,25,1900,25.519807970282578,0.3691257669187595,335.1936117882928
WCOMP12.fits,700,25,1900,25.740679045119652,0.36927211386446196,364.6457151164972
WCOMP13.fits,700,25,1900,25.284368692679966,0.36910685599928034,335.22399042945864
WCOMP14.fits,700,25,1900,25.292344276252752,0.3691045795478355,335.22465313427887
WCOMP15.fits,700,25,1900,25.69189445141084,0.36913886901186055,335.15979108350126
WCOMP16.fits,700,25,1900,25.427340645739125,0.3691346778050991,335.1856521694094
WCOMP17.fits,700,25,1900,25.01928690421768,0.3691755450913472,364.8487901878505
WCOMP18.fits,700,25,1900,24.986166999311592,0.3691608294629775,358.0392574762139
WCOMP19.fits,700,25,1900,24.872355937130113,0.36950523150763387,364.66966611195795
WCOMP20_A.fits,700,25,1900,24.367594253297746,0.3690094029912311,330.1800274667586
WCOMP20_A.fits,700,25,1900,24.367594253297746,0.3690094029912311,330.1800274667586
WCOMP21.fits,700,25,1900,24.78332286892373,0.36902229923699537,335.43808542149026
WCOMP22.fits,700,25,1900,24.71674311959105,0.36910651643932546,364.9718158676027
WCOMP23.fits,700,25,1900,24.60089686554948,0.36909765956482404,364.98356695815994
WCOMP24.fits,700,25,1900,25.643939047362558,0.3691525507239906,335.1561175074448
WCOMP25.fits,700,25,1900,24.4228091701095,0.3691729055829536,364.8767047331011
WCOMP26.fits,700,25,1900,25.95579829618762,0.3693713692856263,364.4605477107436
WCOMP27.fits,700,25,1900,25.64605597234747,0.3692212999365803,364.7041475166143
WCOMP28.fits,700,25,1900,25.741888517747284,0.3692200997463482,364.70608469913554
WCOMP29.fits,700,25,1900,25.735964569463622,0.3691193839068272,335.1604451163658
WCOMP30.fits,700,25,1900,25.735964569463622,0.3691193839068272,335.1604451163658
WCOMP31.fits,700,25,1900,26.218294308792736,0.36922586659411755,334.95864033407355
