'Teorical peaks','Empirical peaks','Normalized','Zero Padding','Teorical WeedOut','Empirical WeedOut','WeedOut Min Value','W_STEP','W_LENGTH','Count of Windows','Distance',,'IoU',,'Scroll Error',,'Time',
'TRUE','TRUE','FALSE','FALSE','TRUE','FALSE',20,75,2000,67,132.72,-63.07,0.28,-0.34,2098.81,-1323.32,0.40,-0.20
'TRUE','TRUE','FALSE','FALSE','TRUE','FALSE',100,75,2000,70,121.01,-49.67,0.28,-0.34,2160.68,-1319.39,0.46,-0.23
'TRUE','TRUE','FALSE','FALSE','TRUE','FALSE',1000,75,2000,71,62.63,-20.62,0.17,-0.11,2099.46,-1173.22,1.06,-0.50
'TRUE','TRUE','FALSE','FALSE','FALSE','TRUE',20,75,2000,72,0.59,-0.19,0.00,0.00,3263.58,-1500.03,0.09,-0.02
'TRUE','TRUE','FALSE','FALSE','FALSE','TRUE',100,75,2000,72,2.68,-1.08,0.00,0.00,3311.40,-1619.38,0.29,-0.07
'TRUE','TRUE','FALSE','FALSE','FALSE','TRUE',1000,75,2000,72,38.78,-8.58,0.00,0.00,2485.17,-1233.00,2.83,-0.58
'TRUE','TRUE','FALSE','FALSE','FALSE','FALSE',20,75,2000,72,67.95,-25.81,0.01,-0.01,2518.10,-1268.49,5.08,-2.42
'TRUE','TRUE','FALSE','FALSE','FALSE','FALSE',100,75,2000,72,67.95,-25.81,0.01,-0.01,2518.10,-1268.49,5.08,-2.41
'TRUE','TRUE','FALSE','FALSE','FALSE','FALSE',1000,75,2000,72,67.95,-25.81,0.01,-0.01,2518.10,-1268.49,5.08,-2.41
'TRUE','FALSE','TRUE','TRUE','TRUE','TRUE',20,75,2000,70,0.83,-0.60,0.30,-0.34,2737.44,-1845.17,0.02,0.00
'TRUE','FALSE','TRUE','TRUE','TRUE','TRUE',100,75,2000,70,2.55,-1.68,0.24,-0.22,2820.12,-1919.24,0.04,-0.01
'TRUE','FALSE','TRUE','TRUE','TRUE','TRUE',1000,75,2000,71,19.22,-7.55,0.22,-0.35,3134.57,-1902.05,0.45,-0.12
'TRUE','FALSE','TRUE','TRUE','TRUE','FALSE',20,75,2000,70,1510.29,-247.11,0.15,-0.17,2219.81,-1360.27,17.03,-0.01
'TRUE','FALSE','TRUE','TRUE','TRUE','FALSE',100,75,2000,70,1241.80,-225.14,0.21,-0.16,2473.77,-1691.69,17.69,-0.02
'TRUE','FALSE','TRUE','TRUE','TRUE','FALSE',1000,75,2000,71,983.85,-209.07,0.22,-0.12,2468.55,-1529.02,21.18,-0.03
'TRUE','FALSE','TRUE','TRUE','FALSE','TRUE',20,75,2000,72,0.53,-0.25,0.00,0.00,3331.49,-1456.32,0.09,-0.01
'TRUE','FALSE','TRUE','TRUE','FALSE','TRUE',100,75,2000,72,2.41,-1.08,0.00,0.00,3294.74,-1798.20,0.33,-0.06
'TRUE','FALSE','TRUE','TRUE','FALSE','TRUE',1000,75,2000,72,26.00,-6.99,0.00,0.00,3082.64,-1996.85,3.59,-1.01
'TRUE','FALSE','TRUE','TRUE','FALSE','FALSE',20,75,2000,72,542.37,-113.80,0.05,-0.04,2924.09,-1245.77,82.03,-0.02
'TRUE','FALSE','TRUE','TRUE','FALSE','FALSE',100,75,2000,72,542.37,-113.80,0.05,-0.04,2924.09,-1245.77,82.05,-0.02
'TRUE','FALSE','TRUE','TRUE','FALSE','FALSE',1000,75,2000,72,542.37,-113.80,0.05,-0.04,2924.09,-1245.77,82.08,-0.06
'TRUE','FALSE','TRUE','FALSE','TRUE','TRUE',20,75,2000,67,0.80,-0.60,0.22,-0.34,2968.44,-1613.22,0.02,0.00
'TRUE','FALSE','TRUE','FALSE','TRUE','TRUE',100,75,2000,70,2.53,-1.64,0.24,-0.22,2815.40,-1915.86,0.04,0.00
'TRUE','FALSE','TRUE','FALSE','TRUE','TRUE',1000,75,2000,71,19.23,-5.86,0.02,-0.03,3404.35,-1605.37,0.69,-0.18
'TRUE','FALSE','TRUE','FALSE','TRUE','FALSE',20,75,2000,67,1555.27,-277.63,0.15,-0.17,2272.48,-1409.74,16.27,-0.03
'TRUE','FALSE','TRUE','FALSE','TRUE','FALSE',100,75,2000,70,1243.54,-226.71,0.23,-0.18,2473.34,-1692.10,17.65,-0.02
'TRUE','FALSE','TRUE','FALSE','TRUE','FALSE',1000,75,2000,71,816.40,-213.26,0.21,-0.09,2520.08,-1492.78,26.28,-0.02
'TRUE','FALSE','TRUE','FALSE','FALSE','TRUE',20,75,2000,72,0.55,-0.27,0.00,0.00,3366.34,-1471.57,0.08,-0.01
'TRUE','FALSE','TRUE','FALSE','FALSE','TRUE',100,75,2000,72,2.40,-1.07,0.00,0.00,3294.71,-1798.11,0.31,-0.06
'TRUE','FALSE','TRUE','FALSE','FALSE','TRUE',1000,75,2000,72,26.01,-6.99,0.00,0.00,3079.49,-1993.71,3.38,-0.96
'TRUE','FALSE','TRUE','FALSE','FALSE','FALSE',20,75,2000,72,550.72,-113.49,0.05,-0.04,2921.01,-1240.75,78.32,-0.03
'TRUE','FALSE','TRUE','FALSE','FALSE','FALSE',100,75,2000,72,550.72,-113.49,0.05,-0.04,2921.01,-1240.75,78.26,-0.06
'TRUE','FALSE','TRUE','FALSE','FALSE','FALSE',1000,75,2000,72,550.72,-113.49,0.05,-0.04,2921.01,-1240.75,78.27,-0.04
'TRUE','FALSE','FALSE','TRUE','TRUE','TRUE',20,75,2000,70,1.08,-0.82,0.20,-0.31,2848.73,-1708.81,0.02,0.00
