'Teorical peaks','Empirical peaks','Normalized','Zero Padding','Teorical WeedOut','Empirical WeedOut','WeedOut Min Value','W_STEP','W_LENGTH','Count of Windows','Distance',,'IoU',,'Scroll Error',,'Time',
'FALSE','FALSE','FALSE','TRUE','TRUE','FALSE',20,75,2000,70,51819117.44,-1315.56,0.00,0.00,3746.01,-1236.27,17.01,-0.01
'FALSE','FALSE','FALSE','TRUE','TRUE','FALSE',100,75,2000,70,41669055.32,-1315.56,0.00,0.00,3745.81,-1236.31,17.69,-0.02
'FALSE','FALSE','FALSE','TRUE','TRUE','FALSE',1000,75,2000,70,28555187.76,-1315.56,0.00,0.00,3757.34,-1233.96,21.09,-0.03
'FALSE','FALSE','FALSE','TRUE','FALSE','TRUE',20,75,2000,73,1.49,-0.80,0.00,0.00,2459.09,-1412.81,0.56,-0.07
'FALSE','FALSE','FALSE','TRUE','FALSE','TRUE',100,75,2000,73,6.17,-3.79,0.00,0.00,2632.21,-1357.60,2.21,-0.40
'FALSE','FALSE','FALSE','TRUE','FALSE','TRUE',1000,75,2000,73,63.86,-30.34,0.00,0.00,2603.56,-1532.87,24.11,-6.19
'FALSE','FALSE','FALSE','TRUE','FALSE','FALSE',20,75,2000,73,1606.38,-355.01,0.00,0.00,2338.13,-1430.00,470.84,-1.14
'FALSE','FALSE','FALSE','TRUE','FALSE','FALSE',100,75,2000,73,1606.38,-355.01,0.00,0.00,2338.13,-1430.00,469.94,-0.11
'FALSE','FALSE','FALSE','TRUE','FALSE','FALSE',1000,75,2000,73,1606.38,-355.01,0.00,0.00,2338.13,-1430.00,469.80,-0.19
'FALSE','FALSE','FALSE','FALSE','TRUE','TRUE',20,75,2000,70,58984.99,-8967.20,0.00,0.00,3799.38,-1406.65,0.02,0.00
'FALSE','FALSE','FALSE','FALSE','TRUE','TRUE',100,75,2000,70,209959.05,-39225.55,0.00,0.00,3880.39,-1540.76,0.04,0.00
'FALSE','FALSE','FALSE','FALSE','TRUE','TRUE',1000,75,2000,70,1492091.72,-384675.19,0.00,0.00,4000.05,-1635.61,0.45,-0.12
'FALSE','FALSE','FALSE','FALSE','TRUE','FALSE',20,75,2000,70,51819117.44,-1315.56,0.00,0.00,3746.01,-1236.27,16.99,-0.03
'FALSE','FALSE','FALSE','FALSE','TRUE','FALSE',100,75,2000,70,41669055.32,-1315.56,0.00,0.00,3745.81,-1236.31,17.66,-0.02
'FALSE','FALSE','FALSE','FALSE','TRUE','FALSE',1000,75,2000,70,28555187.76,-1315.56,0.00,0.00,3757.34,-1233.96,21.13,-0.03
'FALSE','FALSE','FALSE','FALSE','FALSE','TRUE',20,75,2000,73,1.49,-0.80,0.00,0.00,2459.09,-1412.81,0.56,-0.07
'FALSE','FALSE','FALSE','FALSE','FALSE','TRUE',100,75,2000,73,6.17,-3.79,0.00,0.00,2632.21,-1357.60,2.26,-0.45
'FALSE','FALSE','FALSE','FALSE','FALSE','TRUE',1000,75,2000,73,63.86,-30.34,0.00,0.00,2603.56,-1532.87,24.03,-6.19
'FALSE','FALSE','FALSE','FALSE','FALSE','FALSE',20,75,2000,73,1606.38,-355.01,0.00,0.00,2338.13,-1430.00,468.41,-0.10
'FALSE','FALSE','FALSE','FALSE','FALSE','FALSE',100,75,2000,73,1606.38,-355.01,0.00,0.00,2338.13,-1430.00,468.34,-0.17
'FALSE','FALSE','FALSE','FALSE','FALSE','FALSE',1000,75,2000,73,1606.38,-355.01,0.00,0.00,2338.13,-1430.00,467.45,-0.86
