File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana
WCOMP01.fits,789,25,1900,4.536971007221125,0.9026357894736841
WCOMP02.fits,789,25,1900,4.502355293565624,0.7244805263157895
WCOMP03.fits,789,25,1900,4.82980625165274,0.9645898947368421
WCOMP04.fits,789,25,1900,4.755103499925993,0.9589326315789473
WCOMP05.fits,789,25,1900,4.7558649082848055,0.9589326315789473
WCOMP06.fits,789,25,1900,4.433443669542983,0.7244805263157895
WCOMP07.fits,789,25,1900,4.690267937341789,0.9589326315789473
WCOMP08.fits,789,25,1900,4.679110567789296,0.7244805263157895
WCOMP09.fits,789,25,1900,4.685319494228581,0.7244805263157895
WCOMP10.fits,789,25,1900,4.582620066082529,0.938934210526316
WCOMP11.fits,789,25,1900,4.588504916208015,0.7244805263157895
WCOMP12.fits,789,25,1900,5.037285684040179,0.9645898947368421
WCOMP13.fits,789,25,1900,4.689559167342352,0.9026357894736841
WCOMP14.fits,789,25,1900,4.691243855374025,0.9026357894736841
WCOMP15.fits,789,25,1900,4.594930828587191,0.938934210526316
WCOMP16.fits,789,25,1900,4.673106586170924,0.7244805263157895
WCOMP17.fits,789,25,1900,4.580131343663767,0.9589326315789473
WCOMP18.fits,789,25,1900,4.573124135942296,0.9589326315789473
WCOMP19.fits,789,25,1900,4.591145511209458,0.9589326315789473
WCOMP20_A.fits,789,25,1900,4.453511689481018,0.7244805263157895
WCOMP20_A.fits,789,25,1900,4.453511689481018,0.7244805263157895
WCOMP21.fits,789,25,1900,4.550949666134498,0.7244805263157895
WCOMP22.fits,789,25,1900,4.376068712651238,0.938934210526316
WCOMP23.fits,789,25,1900,4.3202789143730955,0.938934210526316
WCOMP24.fits,789,25,1900,4.758475118832247,0.938934210526316
WCOMP25.fits,789,25,1900,4.401221151125278,0.9589326315789473
WCOMP26.fits,789,25,1900,4.59458324139578,0.9589326315789473
WCOMP27.fits,789,25,1900,4.713837805121123,0.9589326315789473
WCOMP28.fits,789,25,1900,4.730384403300865,0.9589326315789473
WCOMP29.fits,789,25,1900,4.606540130538954,0.18483322631578947
WCOMP30.fits,789,25,1900,4.606540130538954,0.18483322631578947
WCOMP31.fits,789,25,1900,4.882442651383647,0.9589326315789473
