File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana
WCOMP01.fits,789,25,1900,22.060638910152104,0.832776315789474
WCOMP02.fits,789,25,1900,21.551474292476474,0.832776315789474
WCOMP03.fits,789,25,1900,22.00882033410316,0.832776315789474
WCOMP04.fits,789,25,1900,22.066897472006406,0.832776315789474
WCOMP05.fits,789,25,1900,22.060873743557625,0.832776315789474
WCOMP06.fits,789,25,1900,21.173878166717955,0.832776315789474
WCOMP07.fits,789,25,1900,21.929262041588398,0.832776315789474
WCOMP08.fits,789,25,1900,21.82538387034785,0.832776315789474
WCOMP09.fits,789,25,1900,21.84697559963226,0.832776315789474
WCOMP10.fits,789,25,1900,21.708860299641337,0.832776315789474
WCOMP11.fits,789,25,1900,22.054513307695576,0.832776315789474
WCOMP12.fits,789,25,1900,22.10139160548715,0.832776315789474
WCOMP13.fits,789,25,1900,21.898289108947896,0.832776315789474
WCOMP14.fits,789,25,1900,21.90575656755544,0.832776315789474
WCOMP15.fits,789,25,1900,22.199334648004097,0.832776315789474
WCOMP16.fits,789,25,1900,22.00502333853148,0.832776315789474
WCOMP17.fits,789,25,1900,21.642371665659347,0.832776315789474
WCOMP18.fits,789,25,1900,21.637178369476764,0.832776315789474
WCOMP19.fits,789,25,1900,21.53358192640449,0.832776315789474
WCOMP20_A.fits,789,25,1900,21.192975152405506,0.832776315789474
WCOMP20_A.fits,789,25,1900,21.192975152405506,0.832776315789474
WCOMP21.fits,789,25,1900,21.49483970930693,0.832776315789474
WCOMP22.fits,789,25,1900,21.409299882368927,0.832776315789474
WCOMP23.fits,789,25,1900,21.321001352053838,0.832776315789474
WCOMP24.fits,789,25,1900,22.10271737982294,0.832776315789474
WCOMP25.fits,789,25,1900,21.239435657814614,0.832776315789474
WCOMP26.fits,789,25,1900,22.37549891718768,0.832776315789474
WCOMP27.fits,789,25,1900,22.047386345386133,0.832776315789474
WCOMP28.fits,789,25,1900,22.121162695685964,0.832776315789474
WCOMP29.fits,789,25,1900,22.30882489731397,0.832776315789474
WCOMP30.fits,789,25,1900,22.30882489731397,0.832776315789474
WCOMP31.fits,789,25,1900,22.697405674457983,0.832776315789474
